Person Chinese Name,Person Pinyin Name,Person Title,PBSC Chinese Name,PBSC Pinyin Name,Binary Overlap,Distinct Anchor Count,Shared Anchors,Anchor Types,Total Episode Pair Count,Total Anchor-Years,Max Continuous Overlap Years,Earliest Overlap Start,Latest Overlap End,Years From Last Overlap To 20th CC,Timing Bucket,Strongest Mechanical Confidence,Manual Faction Label,Manual Faction Notes,Weighted Overlap Score,Person Data Quality
郑新聪,Zheng Xincong,Deputy Director of the Central Hong Kong and Macao Work Office; Deputy Director of the Central Hong Kong and Macao Affairs Office of the State Council; Director of the Liason Office of the Central Government in Macao; Advisor of Macao National Security Affairs,习近平,Xi Jinping,1,1,福建,province/municipality,5,4,1,1991,2001,21,older overlap,High,,,9.25,usable
齐玉,Qi Yu,"Secretary of the Party Committee of the Ministry of Foreign Affairs, and President of the Party School of the Ministry",赵乐际,Zhao Leji,1,2,中央组织部; 青海,central party organ; province/municipality,2,4,3,2007,2017,5,recent before 20th Congress,High,,,9.2,usable
慎海雄,Shen Haixiong,"Vice Minister of the Publicity Department of the CPC Central Committee, Secretary of the Party Leadership Group, Director and Editor-in-Chief of China Media Group",习近平,Xi Jinping,1,2,上海; 浙江,province/municipality,4,4,3,2002,2007,15,older overlap,Medium,,,9.0,usable
慎海雄,Shen Haixiong,"Vice Minister of the Publicity Department of the CPC Central Committee, Secretary of the Party Leadership Group, Director and Editor-in-Chief of China Media Group",李希,Li Xi,1,2,上海; 广东,province/municipality,3,4,2,2011,2018,4,recent before 20th Congress,Medium,,,8.75,usable
周乃翔,Zhou Naixiang,Deputy Secretary of the Shandong Provincial Party Committee and Governor,丁薛祥,Ding Xuexiang,1,1,上海,province/municipality,6,3,3,1994,1996,26,older overlap,High,,,8.0,usable
张工,Zhang Gong,Deputy Secretary and Mayor of the Tianjin Municipal Party Committee,蔡奇,Cai Qi,1,1,北京,province/municipality,6,3,3,2016,2018,4,recent before 20th Congress,High,,,8.0,usable
徐麟,Xu Lin,Secretary of the Guizhou Provincial Party Committee,李希,Li Xi,1,1,上海,province/municipality,4,4,4,2011,2014,8,medium-term before 20th Congress,Medium,,,8.0,usable
王文涛,Wang Wentao,Minister and Secretary of Party Leadership Group of Ministry of Commerce ,习近平,Xi Jinping,1,1,上海,province/municipality,2,1,1,2007,2007,15,older overlap,Medium,Y,Shanghai,8.0,usable
黄强,Huang Qiang,"Secretary of the Jilin Provincial Party Committee, Chairman of the Standing Committee of the Jilin Provincial People's Congress, First Secretary of the Provincial Military District Party Committee",丁薛祥,Ding Xuexiang,1,1,上海,province/municipality,4,4,4,2003,2006,16,older overlap,Medium,,,8.0,usable
刘金国,Liu Jinguo,Secretary of the CCP Secretariat; Deputy Secretary of CCDI;  Director of National Supervisory Commission,习近平,Xi Jinping,1,1,河北,province/municipality,3,4,4,1982,1985,37,older overlap,Medium,,,7.75,usable
